Pin, IO, Onboard component, Special pin, BANK, VIO
38, IOB31B, TF_CS, ,2, 3.3V
37, IOB31A, TF_MOSI, ,2, 3.3V
36, IOB29B, TF_SCLK, GCLKC_4,2, 3.3V
39, IOB33A, TF_MISO, ,2, 3.3V
25, IOB8A, , ,2, 3.3V
26, IOB8B, , ,2, 3.3V
27, IOB11A, , ,2, 3.3V
28, IOB11B, , ,2, 3.3V
29, IOB13A, , ,2, 3.3V
30, IOB13B, , ,2, 3.3V
33, IOB23A, RGB_DE, ,2, 3.3V
34, IOB23B, RGB_VS, ,2, 3.3V
40, IOB33B, RGB_HS, ,2, 3.3V
35, IOB29A, RGB_CK, GCLKT_4,2, 3.3V
41, IOB41A, RGB_B7, ,2, 3.3V
42, IOB41B, RGB_B6, ,2, 3.3V
51, IOR17B, RGB_B5, GCLKC_3,1, 3.3V
53, IOR15B, RGB_B4, ,1, 3.3V
54, IOR15A, RGB_B3, ,1, 3.3V
55, IOR14B, RGB_G7, ,1, 3.3V
56, IOR14A, RGB_G6, ,1, 3.3V
57, IOR13A, RGB_G5, ,1, 3.3V
68, IOT42B, RGB_G4, HDMI_CK_N,1, 3.3V
69, IOT42A, RGB_G3, HDMI_CK_P,1, 3.3V
-, -, -, -, -, -
63, IOR5A, RGB_INIT, ,1, 3.3V
86, IOT8A, RGB_BL, ,3, 1.8V
85, IOT8B, , ,3, 1.8V
84, IOT10A, , ,3, 1.8V
83, IOT10B, , ,3, 1.8V
82, IOT11A, , ,3, 1.8V
81, IOT11B, , ,3, 1.8V
80, IOT12A, , ,3, 1.8V
79, IOT12B, , ,3, 1.8V
77, IOT37A, SPILCD_MO, ,1, 3.3V
76, IOT37B, SPILCD_MCLK, ,1, 3.3V
75, IOT38A, RGB_R3, HDMI_D2P,1, 3.3V
74, IOT38B, RGB_R4, HDMI_D2N,1, 3.3V
73, IOT39A, RGB_R5, HDMI_D1P,1, 3.3V
72, IOT39B, RGB_R6, HDMI_D1N,1, 3.3V
71, IOT41A, RGB_R7, HDMI_D0P,1, 3.3V
70, IOT41B, RGB_G2, HDMI_D0N,1, 3.3V
5V, , , , , 
48, IOR24B, SPILCD_CS, ,1, 3.3V
49, IOR24A, SPILCD_RS, ,1, 3.3V
31, IOB15A, RGB_INIT, ,2, 3.3V
32, IOB15B, RGB_INIT, ,2, 3.3V
GND, , , , , 
3V3, , , , , 
